AS23456,UN,4Byte ASN Place Holder
AS4323,US,TWTC - tw telecom holdings, inc.
AS4230,BR,EMBRATEL-EMPRESA BRASILEIRA DE TELECOMUNICA\195\135\195\149ES SA
AS36947,DZ,ALGTEL-AS
AS17511,JP,K-OPTICOM K-Opticom Corporation
AS1136,EU,KPN KPN Internet Solutions
AS10782,US,HP-DIGITAL-10782 - Hewlett-Packard Company
AS1273,EU,CW Cable and Wireless Worldwide plc
AS4152,US,USDA-1 - USDA
AS17229,US,ATT-CERFNET-BLOCK - AT&T Enhanced Network Services
AS3741,ZA,IS
AS2510,JP,INFOWEB FUJITSU LIMITED
AS29975,ZA,VODACOM-ZA
AS17974,ID,TELKOMNET-AS2-AP PT Telekomunikasi Indonesia
AS16135,TR,TURKCELL-AS TURKCELL ILETISIM HIZMETLERI A.S.
AS9605,JP,MOPERA NTT DoCoMo, Inc.
AS6713,MA,IAM-AS
AS26599,BR,Vivo S.A.
AS5650,US,FRONTIER-FRTR - Frontier Communications of America, Inc.
AS16637,ZA,MTNNS-AS
AS26615,BR,Tim Celular S.A.
AS2609,TN,TN-BB-AS Tunisia BackBone AS
AS668,US,DNIC-AS-00668 - DoD Network Information Center
AS1761,US,TGSCNET - General Services Commission
AS20978,TR,AVEA-TELEKOMUNIKASYON AVEA Iletisim Hizmetleri A.S.
AS2200,FR,FR-RENATER Reseau National de telecommunications pour la Technologie
AS29328,GB,ASN-TMOBILEUK T-Mobile (UK) Limited
AS137,EU,ASGARR GARR Italian academic and research network
AS17816,CN,CHINA169-GZ China Unicom IP network China169 Guangdong province
AS26611,CO,COMCEL S.A.
AS2527,JP,SO-NET So-net Entertainment Corporation
AS1660,US,ANS-CORP-NY - ANS Communications
AS1785,US,AS-PAETEC-NET - PaeTec Communications, Inc.
AS44178,DE,TMD-CORE-AS Telekom Deutschland GmbH
AS326,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS4589,EU,EASYNET Easynet Global Services
AS2386,US,INS-AS - AT&T Data Communications Services
AS6799,GR,OTENET-GR Ote SA (Hellenic Telecommunications Organisation)
AS2152,US,CSUNET-NW - California State University Network
AS6619,KR,SAMSUNGSDS-AS-KR SamsungSDS Inc.
AS719,EU,ELISA-AS Elisa Oyj
AS9674,TW,FET-TW Far EastTone Telecommunication Co., Ltd.
AS24608,IT,H3G-AS H3G S.p.A.
AS24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
AS21844,US,THEPLANET-AS - ThePlanet.com Internet Services, Inc.
AS3549,US,GBLX Global Crossing Ltd.
AS41440,RU,SIBIRTELECOM-AS OJSC Rostelecom
AS81,US,NCREN - MCNC
AS10013,JP,FBDC FreeBit Co.,Ltd.
